epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.2985,0.86488,5.52544,0.01949,0.40683,0.16889,0.12342,0.09852,0.72645,4.84605,0.02615,0.00082832,0.000276107,0.00082832,0.000276107,0.00082832,0.000276107,0.00082832,0.000276107
2,172.603,0.78448,3.06705,0.01685,0.45147,0.54066,0.49867,0.4162,0.616,1.99995,0.02152,0.00155167,0.000517224,0.00155167,0.000517224,0.00155167,0.000517224,0.00155167,0.000517224
3,248.34,0.69179,1.74359,0.01416,0.80652,0.79589,0.89827,0.75891,0.58405,0.75117,0.02021,0.00216507,0.00072169,0.00216507,0.00072169,0.00216507,0.00072169,0.00216507,0.00072169
4,369.95,0.65853,1.06971,0.01291,0.91879,0.88077,0.9572,0.81229,0.59855,0.40359,0.02085,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
5,444.159,0.63049,0.7857,0.01236,0.93711,0.93147,0.97353,0.84436,0.55398,0.32783,0.01921,0.00183926,0.000613088,0.00183926,0.000613088,0.00183926,0.000613088,0.00183926,0.000613088
6,573.254,0.51122,0.49537,0.01313,0.957,0.96327,0.98623,0.8582,0.54611,0.2603,0.01853,0.00167433,0.00055811,0.00167433,0.00055811,0.00167433,0.00055811,0.00167433,0.00055811
7,669.736,0.49464,0.34638,0.01259,0.92277,0.96143,0.98248,0.84585,0.59332,0.28478,0.02077,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
8,745.673,0.47716,0.30209,0.01194,0.97224,0.96407,0.99098,0.86805,0.54302,0.2173,0.01882,0.00134446,0.000448154,0.00134446,0.000448154,0.00134446,0.000448154,0.00134446,0.000448154
9,845.344,0.4593,0.26305,0.01131,0.9344,0.98212,0.98838,0.87247,0.52827,0.22771,0.0181,0.00117953,0.000393176,0.00117953,0.000393176,0.00117953,0.000393176,0.00117953,0.000393176
10,921.534,0.45562,0.25093,0.01132,0.96935,0.95997,0.98968,0.87287,0.52361,0.22207,0.01803,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
11,999.969,0.44619,0.2348,0.011,0.9645,0.9655,0.99126,0.87699,0.51736,0.21306,0.01783,0.00084966,0.00028322,0.00084966,0.00028322,0.00084966,0.00028322,0.00084966,0.00028322
12,1116.74,0.43927,0.23366,0.0108,0.96491,0.96519,0.98648,0.86562,0.54002,0.23096,0.01895,0.000684726,0.000228242,0.000684726,0.000228242,0.000684726,0.000228242,0.000684726,0.000228242
13,1191.82,0.42373,0.20267,0.01034,0.97032,0.9898,0.99313,0.87672,0.52824,0.19522,0.01827,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
14,1290.97,0.42007,0.20192,0.01018,0.97267,0.97365,0.99224,0.87835,0.51992,0.19456,0.01797,0.000354858,0.000118286,0.000354858,0.000118286,0.000354858,0.000118286,0.000354858,0.000118286
15,1366.1,0.40991,0.19697,0.00983,0.97816,0.97571,0.99293,0.87878,0.52283,0.19752,0.01821,0.000189924,6.3308e-05,0.000189924,6.3308e-05,0.000189924,6.3308e-05,0.000189924,6.3308e-05
